path,ext,top_dir,doc_section,bytes,mtime,git_last_commit_date,git_status,sha1,protection
docs/release/rc-freeze-decision-pack.md,md,docs,release,2976,2026-06-13T13:26:32.999Z,2026-06-13,clean,1495b23f53c2384ca01394354e912a363916f380,reviewable
docs/release/release-notes-rc-9e346d9.md,md,docs,release,3168,2026-06-13T13:18:36.688Z,2026-06-13,clean,ccccc54d1229afc92159c8be4ad904346a16288e,reviewable
docs/release/remaining-launch-tuw.md,md,docs,release,14915,2026-06-21T13:20:56.854Z,2026-06-16,clean,5ef1e3b2fc84d8e6ef5d0c03ed12e65ea73a8f18,reviewable
docs/release/rollback-runbook.md,md,docs,release,12265,2026-06-21T13:20:56.854Z,2026-06-21,clean,0765bed76951b5189050dc708d988a258fccf34a,reviewable
docs/release/security-evidence-index.md,md,docs,release,3508,2026-06-21T13:20:56.854Z,2026-06-19,clean,fa71768bb9b0da992ae4ef99ac7d7814280ed1be,protected_evidence_ref_review_only
docs/release/staging-deployment-plan.md,md,docs,release,3692,2026-06-14T10:19:12.087Z,2026-06-14,clean,4e17468d7ef07d276af55cad0d18a7796c51bbb8,reviewable
docs/release/staging-input-checklist.md,md,docs,release,4345,2026-06-22T04:33:02.389Z,2026-06-22,clean,0a0521b75ac1d379bc70b06bfd6e82b13de971ce,reviewable
docs/release/staging-smoke-plan.md,md,docs,release,6125,2026-06-21T13:20:56.854Z,2026-06-18,clean,08ac6fa8d5322749e8628288315e99862b5d3250,reviewable
docs/release/synthetic-uat-evidence.md,md,docs,release,6508,2026-06-14T11:44:16.306Z,2026-06-14,clean,24dbafdf7a344ad188e88f9b66c12a6e8bea3e96,protected_evidence_ref_review_only
docs/release/synthetic-uat-scenarios.md,md,docs,release,8162,2026-06-15T00:11:15.233Z,2026-06-14,clean,0683d5b02b967d83eb04b291a1d281cde62d432d,reviewable
docs/release/uat-checklist.md,md,docs,release,4576,2026-06-14T11:44:16.306Z,2026-06-14,clean,2ad3f458fdf297a7ef1c76f4e3f592c1065dc962,reviewable
docs/release/uat-evidence-template.md,md,docs,release,4955,2026-06-14T11:44:16.306Z,2026-06-14,clean,606c1e562fb6e9758fd0142a8b8269272a98497e,protected_evidence_ref_review_only
docs/reports/R10_litigation_case_map.md,md,docs,reports,4528,2026-06-12T12:58:41.632Z,2026-06-12,clean,4d7162416a263b562322aa8a51f05e11b46decfc,reviewable
docs/reports/R11_external_core.md,md,docs,reports,5871,2026-06-12T13:35:44.875Z,2026-06-12,clean,fe65a23eacb3acae3b06452bb696c38c425fa797,reviewable
docs/reports/R11_external_portal_gate.md,md,docs,reports,7539,2026-06-12T14:22:00.138Z,2026-06-12,clean,5cea7c1ce82f956582e12a237e7ee1d92907658a,reviewable
docs/reports/R12_records_governance.md,md,docs,reports,7644,2026-06-12T15:08:37.068Z,2026-06-13,clean,8f0e156b3faf0bc7ca6f2b9d3de34ceefc97c992,reviewable
docs/reports/R13_enterprise_readiness.md,md,docs,reports,7295,2026-06-12T15:35:55.577Z,2026-06-13,clean,f7940ec470583c55240d086f1e6dcc861602b932,reviewable
docs/reports/R14_scale_learning.md,md,docs,reports,8192,2026-06-12T16:10:17.805Z,2026-06-13,clean,d4b75d8f955632b349775e619515ff709094421a,reviewable
docs/reports/R3_korean_tokenization_eval.md,md,docs,reports,3022,2026-06-11T23:50:54.184Z,2026-06-12,clean,b5ca19c606ccb01cf7fae12926656a71f0ce934b,reviewable
docs/reports/R3_opensearch_decision_proposal.md,md,docs,reports,5001,2026-06-11T23:50:54.184Z,2026-06-12,clean,f3611bacfdb99a6f6db4f110cbfe15846e0dae05,reviewable
docs/reports/R4_hwp5_binary_extraction_spike.md,md,docs,reports,1223,2026-06-12T04:06:33.936Z,2026-06-12,clean,0b241808c7c3bd5c1fb0eba3cbcb2b0435e5d1d0,reviewable
